payment_id,sale_id,payment_method,payment_date,amount,payment_status,transaction_ref
1,1,cash,2023-04-01,21677.84,completed,
2,2,bank_transfer,2023-04-01,5090.79,completed,BT00000002
3,3,cash,2023-04-01,228.0,completed,
4,4,cash,2023-04-01,4891.72,completed,
5,5,cash,2023-04-01,3942.91,completed,
6,6,cash,2023-04-01,1102.75,completed,
7,7,upi,2023-04-01,4086.56,completed,UPI00000007
8,8,bank_transfer,2023-04-01,27111.74,completed,BT00000008
9,9,bank_transfer,2023-04-01,5284.93,completed,BT00000009
10,10,cash,2023-04-04,3129.83,pending,
11,11,cash,2023-04-02,21758.91,completed,
12,12,bank_transfer,2023-04-03,5736.0,pending,BT00000012
13,13,cash,2023-04-02,283.1,completed,
14,14,cash,2023-04-02,22648.53,completed,
15,15,upi,2023-04-02,106.4,completed,UPI00000015
16,16,upi,2023-04-02,12358.21,completed,UPI00000016
17,17,upi,2023-04-02,12610.76,completed,UPI00000017
18,18,bank_transfer,2023-04-02,13282.09,completed,BT00000018
19,19,cash,2023-04-03,1444.04,completed,
20,20,bank_transfer,2023-04-03,10874.02,completed,BT00000020
21,21,cash,2023-04-03,3191.52,completed,
22,22,upi,2023-04-03,18413.24,completed,UPI00000022
23,23,upi,2023-04-04,5024.58,completed,UPI00000023
24,24,cash,2023-04-04,1720.43,completed,
25,25,cash,2023-04-04,6914.82,completed,
26,26,cash,2023-04-04,106.4,completed,
27,27,cash,2023-04-05,30267.85,completed,
28,28,upi,2023-04-05,34416.09,completed,UPI00000028
29,29,bank_transfer,2023-04-06,19434.95,pending,BT00000029
30,30,cash,2023-04-05,30.4,completed,
31,31,upi,2023-04-05,985.88,completed,UPI00000031
32,32,cash,2023-04-05,9009.72,completed,
33,33,upi,2023-04-05,12873.37,completed,UPI00000033
34,34,cash,2023-04-05,3828.69,completed,
35,35,upi,2023-04-06,23349.08,completed,UPI00000035
36,36,cash,2023-04-06,4306.64,completed,
37,37,upi,2023-04-06,27591.59,completed,UPI00000037
38,38,upi,2023-04-06,8130.75,completed,UPI00000038
39,39,cash,2023-04-06,7337.58,completed,
40,40,upi,2023-04-06,19245.19,completed,UPI00000040
41,41,cash,2023-04-06,1614.07,completed,
42,42,cash,2023-04-06,2308.25,completed,
43,43,upi,2023-04-06,8854.95,completed,UPI00000043
44,44,bank_transfer,2023-04-06,8211.71,completed,BT00000044
45,45,bank_transfer,2023-04-07,856.31,completed,BT00000045
46,46,upi,2023-04-07,162.12,completed,UPI00000046
47,47,upi,2023-04-09,2452.82,pending,UPI00000047
48,48,bank_transfer,2023-04-07,6745.27,completed,BT00000048
49,49,bank_transfer,2023-04-07,4104.49,completed,BT00000049
50,50,upi,2023-04-07,4671.61,completed,UPI00000050
51,51,bank_transfer,2023-04-08,25877.63,completed,BT00000051
52,52,upi,2023-04-08,8933.61,completed,UPI00000052
53,53,cash,2023-04-08,79.8,completed,
54,54,bank_transfer,2023-04-08,7101.81,completed,BT00000054
55,55,upi,2023-04-08,3590.52,completed,UPI00000055
56,56,bank_transfer,2023-04-08,23835.21,completed,BT00000056
57,57,cash,2023-04-08,602.3,completed,
58,58,upi,2023-04-08,9004.2,completed,UPI00000058
59,59,bank_transfer,2023-04-08,16427.82,completed,BT00000059
60,60,bank_transfer,2023-04-08,11025.84,completed,BT00000060
61,61,cash,2023-04-08,239.4,completed,
62,62,cash,2023-04-09,389.08,completed,
63,63,cash,2023-04-09,47.5,completed,
64,64,cash,2023-04-09,6133.68,completed,
65,65,bank_transfer,2023-04-09,5357.3,completed,BT00000065
66,66,bank_transfer,2023-04-09,21695.12,completed,BT00000066
67,67,upi,2023-04-09,370.5,completed,UPI00000067
68,68,upi,2023-04-09,7951.05,completed,UPI00000068
69,69,upi,2023-04-10,16766.88,completed,UPI00000069
70,70,bank_transfer,2023-04-10,13310.64,completed,BT00000070
71,71,upi,2023-04-10,24297.64,completed,UPI00000071
72,72,cash,2023-04-10,3583.21,completed,
73,73,upi,2023-04-10,8182.05,completed,UPI00000073
74,74,upi,2023-04-14,5772.5,pending,UPI00000074
75,75,upi,2023-04-11,12224.43,completed,UPI00000075
76,76,cash,2023-04-11,39761.88,completed,
77,77,upi,2023-04-11,60.8,completed,UPI00000077
78,78,upi,2023-04-12,7361.45,completed,UPI00000078
79,79,cash,2023-04-12,2687.64,completed,
80,80,upi,2023-04-15,2537.36,pending,UPI00000080
81,81,cash,2023-04-12,1203.56,completed,
82,82,upi,2023-04-12,14536.65,completed,UPI00000082
83,83,cash,2023-04-13,2690.12,completed,
84,84,upi,2023-04-13,5905.09,completed,UPI00000084
85,85,upi,2023-04-13,13234.11,completed,UPI00000085
86,86,cash,2023-04-13,16201.37,completed,
87,87,cash,2023-04-13,50.35,completed,
88,88,upi,2023-04-13,190.0,completed,UPI00000088
89,89,upi,2023-04-16,3439.53,pending,UPI00000089
90,90,bank_transfer,2023-04-13,13637.99,completed,BT00000090
91,91,cash,2023-04-13,537.15,completed,
92,92,bank_transfer,2023-04-14,3156.74,completed,BT00000092
93,93,upi,2023-04-14,5710.18,completed,UPI00000093
94,94,upi,2023-04-14,2445.86,completed,UPI00000094
95,95,bank_transfer,2023-04-14,12868.86,completed,BT00000095
96,96,upi,2023-04-14,12723.57,completed,UPI00000096
97,97,upi,2023-04-14,23917.69,completed,UPI00000097
