category_id,category_name,parent_category_id,description
1,Paint,,All paint products
2,Interior Paint,1.0,"Interior wall emulsions, distemper, enamel"
3,Exterior Paint,1.0,Exterior wall emulsions
4,Primer,1.0,Interior and exterior primers
5,Putty,1.0,Wall putty — white cement and acrylic
6,Enamel & Distemper,1.0,Enamel gloss and synthetic distemper
7,Accessories,,"Brushes, rollers, tape, thinner, tools"
8,Brush,7.0,Paint brushes
9,Roller,7.0,Paint rollers and trays
10,Other Accessory,7.0,"Tape, thinner, sandpaper, stirrer"
11,E-Rickshaw,,Electric rickshaw vehicles
