sale_id,customer_id,employee_id,sale_date,total_amount,payment_method,payment_status,promotion_id,festival_flag,holiday_flag,season,warehouse_expansion_flag
1,152,2,2023-04-01,21677.84,cash,paid,2.0,0,0,pre_monsoon,0
2,431,3,2023-04-01,5090.79,bank_transfer,paid,2.0,0,0,pre_monsoon,0
3,310,2,2023-04-01,228.0,cash,paid,2.0,0,0,pre_monsoon,0
4,536,2,2023-04-01,4891.72,cash,paid,2.0,0,0,pre_monsoon,0
5,292,3,2023-04-01,3942.91,cash,paid,2.0,0,0,pre_monsoon,0
6,107,2,2023-04-01,1102.75,cash,paid,2.0,0,0,pre_monsoon,0
7,466,3,2023-04-01,4086.56,upi,paid,2.0,0,0,pre_monsoon,0
8,406,1,2023-04-01,27111.74,bank_transfer,paid,2.0,0,0,pre_monsoon,0
9,34,1,2023-04-01,5284.93,bank_transfer,paid,2.0,0,0,pre_monsoon,0
10,441,1,2023-04-02,3129.83,cash,pending,2.0,0,0,pre_monsoon,0
11,178,2,2023-04-02,21758.91,cash,paid,2.0,0,0,pre_monsoon,0
12,27,2,2023-04-02,5736.0,bank_transfer,pending,2.0,0,0,pre_monsoon,0
13,26,3,2023-04-02,283.1,cash,paid,2.0,0,0,pre_monsoon,0
14,805,2,2023-04-02,22648.53,cash,paid,2.0,0,0,pre_monsoon,0
15,110,1,2023-04-02,106.4,upi,paid,2.0,0,0,pre_monsoon,0
16,104,2,2023-04-02,12358.21,upi,paid,2.0,0,0,pre_monsoon,0
17,306,1,2023-04-02,12610.76,upi,paid,2.0,0,0,pre_monsoon,0
18,949,1,2023-04-02,13282.09,bank_transfer,paid,2.0,0,0,pre_monsoon,0
19,31,2,2023-04-03,1444.04,cash,paid,2.0,0,0,pre_monsoon,0
20,357,3,2023-04-03,10874.02,bank_transfer,paid,2.0,0,0,pre_monsoon,0
21,867,3,2023-04-03,3191.52,cash,paid,2.0,0,0,pre_monsoon,0
22,500,2,2023-04-03,18413.24,upi,paid,2.0,0,0,pre_monsoon,0
23,911,1,2023-04-04,5024.58,upi,paid,2.0,0,0,pre_monsoon,0
24,221,3,2023-04-04,1720.43,cash,paid,2.0,0,0,pre_monsoon,0
25,239,3,2023-04-04,6914.82,cash,paid,2.0,0,0,pre_monsoon,0
26,905,3,2023-04-04,106.4,cash,paid,2.0,0,0,pre_monsoon,0
27,511,1,2023-04-05,30267.85,cash,paid,2.0,0,0,pre_monsoon,0
28,918,3,2023-04-05,34416.09,upi,paid,2.0,0,0,pre_monsoon,0
29,628,1,2023-04-05,19434.95,bank_transfer,pending,2.0,0,0,pre_monsoon,0
30,49,1,2023-04-05,30.4,cash,paid,2.0,0,0,pre_monsoon,0
31,832,2,2023-04-05,985.88,upi,paid,2.0,0,0,pre_monsoon,0
32,628,2,2023-04-05,9009.72,cash,paid,2.0,0,0,pre_monsoon,0
33,599,2,2023-04-05,12873.37,upi,paid,2.0,0,0,pre_monsoon,0
34,495,1,2023-04-05,3828.69,cash,paid,2.0,0,0,pre_monsoon,0
35,877,1,2023-04-06,23349.08,upi,paid,2.0,0,0,pre_monsoon,0
36,780,3,2023-04-06,4306.64,cash,paid,2.0,0,0,pre_monsoon,0
